OBJECTID,TREEID,DATE,COLLECTOR,LANDUSE,HEIGHT,DIAMETER,HAZARD,NOTES,STATUS,GlobalID,Species,Condition,TREE_ID,Donor,Planted,treatmenthistory,latitude,longitude
314,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,90,31,No,White pine,Planted,278c66a4-5ff5-4cfb-9d4f-811c97651746,Pinus strobus,Fair,PH07,,,,43.7062814087082,-72.2925823834467
315,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,45,12,No,Hemlock ,Planted,3ce36593-b003-4d1d-b59b-909368d97844,Tsuga canadensis,Fair ,PH120,,,,43.7062447797914,-72.2925874964076
316,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,75,26,No,Tamarack,Planted,1f95a0d2-b499-4f71-9413-8bb7df7ee389,Larix larcinia,Fair ,PH11,,,,43.7062442349677,-72.2926476784724
317,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,12,5,No,Crabapple ,Planted,114a683a-3b4e-4714-8d81-83de721eb905,Malus,Fair ,PH12,,,,43.706277441343,-72.2927826539208
318,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,112,47,No,Norway spruce ,Planted,666cf008-c270-42d3-ab73-1a8193b9f25f,Picea abies,Fair ,PH20,,,,43.7060087453981,-72.2926311661231
319,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,125,42,No,Norway spruce ,Planted,c5a2a5fe-6f57-4c51-8d63-e1fc4f3f042c,Picea abies,Good,PH22,,,,43.7059716296557,-72.2924626328168
320,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,18,10,No,Hawthorn ,Planted,36fb5cd3-a6f9-41d8-810f-2693f280a2b8,Crataegus sp,Good ,PH23,,,,43.7059254857257,-72.2923879199371
321,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,75,40,No,Hemlock ,Planted,c0e598d3-de28-48e8-990d-3a4622612e6e,Tsuga canadensis,Good,PH26,,,,43.7058927377613,-72.2923365019542
322,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,90,29,No,Red pine,Planted,0e3d6a6b-8382-4d9c-aea6-f1e887d1ce79,Pinus resinosa,Fair ,PH24,,,,43.7058543757793,-72.2925311800864
323,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,55,25,No,Norway spruce ,Planted,d63c254e-a980-45a6-b762-06e4408c1e67,Picea abies,Fair,PH25,,,,43.7058399926073,-72.2923842855963
324,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,18,,,Conifer hedge,Planted,899d417d-4fa9-4623-95f4-52164e106459,misc.,Fair,PH145,,,,43.7057152001586,-72.2924463853488
325,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,22,14,No,Crabapple ,Planted,9cb2e4a4-d0f2-40ed-bf1c-1f6b96cbc8b9,Malus sp,Fair ,PH52,,,,43.7057072064315,-72.2925922740924
326,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,22,10,No,Tree lilac ,Planted,0ad68edb-4bfa-4e23-9f36-6ade29679696,Syringae reticulata,Fair ,PH53,,,,43.7056842244069,-72.2926154114603
327,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,14,4,No,Carolina Silverbell,Planted,381b6f72-d96d-420c-9bd4-36a8c4fa36e0,Halesia tetraptera,Poor ,PH54,,,,43.7057352858071,-72.2926972993392
328,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,55,35,No,Red oak,Planted,481185f1-27e4-4ac6-b9a7-2e91bec93fee,Quercus rubra,Poor ,PH56,,,,43.7057271712892,-72.2928326703905
329,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,40,25,No,Red maple,Planted,a77d8efa-09e2-479a-8f56-a84c64ad460b,Acer rubrum,Fair ,PH57,,,,43.7059560512346,-72.2928367808381
330,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,12,12,No,Euonymus ,Planted,0d3fd80a-6f1e-4be8-84d9-05fa326b537b,Euonymus europaeus,Fair ,PH18,,,,43.7059178731619,-72.2925557591989
331,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,12,12,No,Euonymus ,Planted,a1893509-a59e-4df5-a6b4-4d9770dce010,Euonymus europaeus,Fair ,PH17,,,,43.7059075773062,-72.2926134132686
332,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,30,11,No,Sugar maple ,Planted,f2865f97-7e7e-47e4-86af-a7397997fe02,Acer saccharum,Fair ,PH59,,,,43.706061960068,-72.2928152360728
333,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,20,5,No,Katsura,Planted,9b2d011b-377e-43ef-9ccf-4dbb178ed7da,Cercidiphyllum japonicum,Good ,PH116,,,,43.7062408402969,-72.2929811105805
334,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,20,6,No,Katsura ,Planted,119e9570-697e-4b43-8b25-d0f970116844,Cercidiphyllum japonicum,Fair ,PH115,,,,43.7062933110108,-72.2931780853051
335,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,11,4,No,Crabapple ,Planted,1584d884-f24d-4660-ade8-cc8ffa4e2d15,Malus,Fair ,PH160,,,,43.7063076021557,-72.2932321485805
336,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,35,11,No,Sugar maple ,Planted,9de6bda9-e192-4e52-a6a5-b4e5150cbd7d,Acer saccharum,Good,PH161,,,,43.7063914630969,-72.2932981979775
337,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,95,28,No,White pine ,Planted,d56a69a5-064e-4867-a660-c31753261cb1,Pinus strobus,Fair ,PH84,,,,43.7064767070521,-72.2936281096864
338,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,100,32,No,White pine ,Planted,a46e667a-a5b1-46b7-bffd-06d605fe4302,Pinus strobus,Fair ,PH83,,,,43.7064056285133,-72.2937189695167
339,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,110,55,No,Norway spruce Removed Mar. '22,Dead,c689a2a4-7dff-44cf-8a39-56fe19534595,Picea abies,Poor ,PH71,,,,43.7062747870047,-72.2935335618186
340,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,135,34,No,Norway spruce ,Planted,f0c112fb-d72f-481d-a056-52326e588eaf,Picea abies,Good ,PH148,,,,43.7061658191109,-72.2937235762074
341,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,40,13,No,River birch - cabled Mar. '22,Planted,e5a73c33-68e2-450c-8b63-2711acebc781,Betula nigra,Good,PH62,,,,43.7059521517657,-72.2932954118133
342,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,25,16,No,"Paper birch three stem, one grey",Planted,75cf787c-ef47-4841-8266-ebe782a63481,Betula,Fair ,PH67,,,,43.706178856123,-72.293339185484
343,,"Wed, 15 Nov 2017 18:04:49 GMT",Beaty ,,120,56,No,Norway spruce 44 acs,Planted,1f7b72de-6024-458f-be3d-8dcc3961e2f9,Picea abies ,Fair,PH61,,,,43.7057877865491,-72.2931987584016
344,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,10,4,No,Kousa dogwood ,Planted,29ad9212-09ad-4a0b-bef9-f9d73a79e15c,Cornus kousa,Good,PH58,,,,43.7059112105657,-72.2929578960648
345,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,80,21,No,Red oak,Ingrowth,560cbcf1-852f-4ea8-92f1-b5b054e72ef5,Quercus rubra,Fair ,PH146,,,,43.7059116750978,-72.2933767062059
346,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,85,25,No,Red oak,Ingrowth,b27dbf52-7557-4ac1-8beb-76173b739383,Quercus rubra,Fair ,PH147,,,,43.7061225716432,-72.2936205659735
347,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,90,30,No,White pine,Planted,f3538cfd-ca0c-48bc-ac31-e2632cf08f6c,Pinus strobus,Fair ,PH89,,,,43.7065106956695,-72.2935975157398
348,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,130,32,No,Norway spruce ,Planted,a7a18678-061e-46f5-a19a-0460bbeabb5e,Picea abies,Poor ,PH99,,,,43.7065798204165,-72.293615335715
349,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,50,25,No,Sugar maple,Planted,3f53b830-5185-4520-9444-4631a9dd807f,Acer saccharum,Fair ,PH101,,,,43.7066629983577,-72.2935596831522
350,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,100,35,No,White pine,Planted,ada9b294-1432-44c6-969a-6fee6415e35e,Pinus Strobus,Fair ,PH112,,,,43.7066629778173,-72.2933186197806
351,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,100,36,No,White pine,Planted,4bec9d7c-f81d-4e7c-be15-a5ba391a75cf,Pinus strobus,Fair ,PH113,,,,43.7066771754049,-72.2932095073739
352,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,12,3,No,Red bud,Planted,7a9ceeaa-68d9-4846-836c-b9d515e30c80,Cercis canadensis,Good ,PH149,,,,43.7065424374657,-72.2935521897798
353,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,85,26,No,Norway spruce ,Planted,e2ad732c-d4d8-49dc-832f-c113fe269fa2,Picea abies,Poor ,PH01,,,,43.7065355612091,-72.2926224255334
354,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,90,34,No,Norway spruce ,Planted,e1a0c8e7-a6b8-4643-8e97-6f1034010d41,Picea abies,Poor ,PH35,,,,43.7057875577666,-72.2917267520589
355,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,55,25,No,Hemlock ,Planted,315f4674-8b71-4778-8ad4-76b1af38b7dd,Tsuga canadensis,Fair ,PH124,,,,43.7057614792545,-72.2917499766427
356,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,85,29,No,Norway spruce ,Planted,e469eb3e-cbbf-4f5d-a3dd-35a33945aec5,Picea abies,Fair ,PH34,,,,43.7057994339286,-72.2918036073989
357,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,95,36,No,Norway spruce ,Planted,5f8bcfd4-b9d9-4f48-a402-0f009c4e82f8,Picea abies,Fair ,PH33,,,,43.705812244352,-72.2918623343358
358,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,60,19,No,Norway spruce ,Planted,0d79919b-2a1a-4f39-b3b5-f3ef9f3454d6,Picea abies,Fair ,PH32,,,,43.7058354775701,-72.2919159819539
359,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,100,42,No,Norway spruce ,Planted,3b0c2893-9e5c-4641-8f79-b9442d2472c8,Picea abies,Fair ,PH31,,,,43.7058510281326,-72.2919854880265
360,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,65,28,No,Norway spruce ,Planted,c781fec2-a0df-4f2f-bede-6d1bbb92c2f2,Picea abies,Poor ,PH30,,,,43.705878993537,-72.292073266648
361,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,100,41,No,White pine,Planted,f97009d6-e35e-447b-81e5-875dfec2bd1c,Pinus strobus,Fair ,PH28,,,,43.7058938428092,-72.2922608872014
362,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,50,33,No,Hemlock ,Planted,101aa420-562f-400e-bbe9-da78bb6b3e02,Tsuga canadensis,Fair ,PH29,,,,43.7059646867204,-72.2922814999711
363,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,100,32,No,White pine,Planted,7d5f69ea-8278-4b0a-af74-9b1eb97b295e,Pinus strobus,Fair ,PH13,,,,43.7061589911244,-72.2925831110515
364,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,42,22,No,Arborvitae ,Planted,646b6fff-2ac6-4f12-8bd0-757e3183fd32,Thuja occidentalis,Poor ,PH15,,,,43.7060958871593,-72.2926154014331
365,,"Wed, 15 Nov 2017 19:19:11 GMT",Beaty,,50,24,No,Red oak,Ingrowth,3321c741-3c92-4b5c-b50f-ac09376ed480,Quercus rubra,Fair ,CP71,,,,43.7057371717353,-72.2851264291185
366,,,Beaty,,75,30,No,White pine,Ingrowth,1a75a063-fe4e-4b43-98df-5aa32050ebe3,Quercust rubra,Fair ,CP72,,,,43.7057349924405,-72.2851554305035
367,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,45,31,No,Red oak,Ingrowth,67163d47-fcb4-41b4-a1bc-7b10db0cc81c,Quercus rubra,Fair ,CP70,,,,43.7056220882048,-72.2851264291185
368,,,,,50,27,,,Ingrowth,b6c4f279-43c6-4c63-9677-9967d63ca4ca,,Poor ,,,,,43.7057262333517,-72.2853031196373
369,,,,,45,18,,Red oak,Ingrowth,23700140-c027-40a5-96fd-2e44450bd3eb,,Fair ,,,,,43.7056692364101,-72.2854130063879
370,,,,,50,19,,Scotch pine,Ingrowth,7cfa5b64-5104-4f36-89be-cd18340d3d42,,Fair ,,,,,43.7055799272318,-72.2854853422123
371,,,,,65,24,,Scotch pine,Ingrowth,4bbe1189-981c-4ef5-a5d1-09a012af35ab,,Fair ,,,,,43.7056071684172,-72.2855018545615
372,,,,,35,13,,Scotch pine ,Ingrowth,7a24ff4b-6da9-4496-b125-9f716a05109f,,Fair ,,,,,43.7055609422212,-72.2854844202029
373,,,,,50,15,,Scotch pine ,Ingrowth,82757776-9dd5-44d9-b71d-05e557d0fdab,,Fair ,,,,,43.705539484549,-72.2855601926076
374,,,,,65,16,,Scotch pine ,Ingrowth,a9e54916-d458-4f9e-816c-4bcd6c73c920,,Fair ,,,,,43.705606833141,-72.2855251562523
375,,,,,50,14,,Scotch pine ,Ingrowth,a3093f29-9654-404e-8ae2-d1aa43707dee,,Fair ,,,,,43.7056738045474,-72.2855299339372
376,,,,,35,15,,Scotch pine ,Ingrowth,7c2c49d7-773c-41ee-b442-b63aaa31b010,,Poor ,,,,,43.7056893110682,-72.2855561692941
377,,,,,60,16,,Scotch pine ,Ingrowth,2802d157-3f5a-4781-a20a-6c5989fe340e,,Good,,,,,43.7057397282158,-72.2855274193662
378,,,,,45,13,,Scotch pine ,Ingrowth,78e58446-2985-411b-98a4-16651eea0e63,,Fair ,,,,,43.705768100958,-72.2855313588607
379,,,,,45,15,,Scotch pine ,Ingrowth,cb563547-8ad6-4ca3-8b6d-24565b76a9d2,,Fair ,,,,,43.7057888880779,-72.2855254915285
380,,,,,60,16,,Scotch pine ,Ingrowth,6944667a-239e-4a9c-9e16-4a612db61b00,,Fair ,,,,,43.70574542791,-72.28543706245
381,,,,,45,14,,Scotch pine ,Ingrowth,5af92c7f-1746-4173-900b-7f6ce72d1cb5,,Scotch pine ,,,,,43.7057525944372,-72.2853938118296
382,,,,,40,16,,Scotch pine ,Ingrowth,13a3ab3b-94f5-4f68-9faa-379cc1a5a122,,Fair ,,,,,43.7057142891397,-72.285370845415
383,,,,,45,12,,Scotch pine ,Ingrowth,c9dcfb84-976e-42e8-bcad-a309a003e126,,Fair ,,,,,43.7055135844682,-72.2856010124761
384,,,,,55,15,,Scotch pine ,Ingrowth,1affa6a9-4451-495e-a0ac-70c36b738b8f,,Fair ,,,,,43.7055018917133,-72.2855948098677
385,,,,,25,8,,Scotch pine ,Ingrowth,5a5e2ca0-70e0-438c-9da2-028214754781,,Poor ,,,,,43.7054698728432,-72.2856280022043
386,,"Wed, 15 Nov 2017 05:00:00 GMT",Beaty,,118,38,No,Japanese larch  38 acs,Ingrowth,31925660-8332-4177-85a6-2b1b9a81a9bf,Larix kaempferi,Fair,CP55,,,,43.7047448365794,-72.2847279668658
387,,,,,125,31,,Japanese larch ,Ingrowth,e9d4244f-63bf-4c5d-8b17-9e4ffe5899cd,Larix kaempferi,Good ,CP54,,,,43.7050910946389,-72.2845883109349
388,,"Tue, 21 Nov 2017 15:41:02 GMT",,,10,2,,Hophornbeam ,Planted,fccd6e77-badc-4c06-9143-af41469015fa,,Fair ,WA78,,2014,,43.7073988002201,-72.2924628575074
389,,"Tue, 21 Nov 2017 15:42:31 GMT",,,12,3,,Hophornbeam,Planted,666147f2-8a6d-48be-b28a-adf16df4747a,,Fair ,WA77,,2014,,43.7073617102985,-72.2924732510674
390,,"Tue, 21 Nov 2017 15:43:31 GMT",,,10,3,,Hophornbeam ,Planted,7c008532-96fe-406b-a75a-ce60d7caf276,,Poor ,WA79,,2014,,43.7074546656047,-72.2924653720784
391,,"Tue, 21 Nov 2017 15:44:30 GMT",,,10,2,,Hophornbeam ,Planted,76cca95b-8bc5-44f3-9296-c8bc64202dca,,Poor ,WA76,,2014,,43.7074334174802,-72.2925896757024
392,,"Tue, 21 Nov 2017 15:45:37 GMT",,,10,3,,Crabapple ‘Spring Snow’,Planted,bae137fb-8e92-4d50-be12-b68a7972159c,Malus,Fair ,WA73,,2014,,43.7075564638187,-72.2926416435021
393,,"Tue, 21 Nov 2017 15:48:46 GMT",Beaty,,10,3,No,Crabapple 'Spring Snow',Planted,96c98e0b-a13f-44f8-9f26-426075af8c3e,Malus,Fair ,WA74,,2014,,43.7075319048424,-72.2928387858647
394,,"Tue, 21 Nov 2017 15:49:46 GMT",Beaty,,10,4,No,Crabapple 'Spring Snow',Planted,c715f1e6-082e-4600-8f0e-34024892a7ab,Malus,Fair ,WA75,,2014,,43.7075391132791,-72.2928756662386
395,,"Thu, 30 Nov 2017 19:37:53 GMT",,,14,4,No,Red maple ,Planted,0aef40ab-8f25-48d4-af22-69f1d93a3f91,Acer rubrum ,Poor ,WA95,,,,43.7071460020204,-72.292107548632
396,,"Thu, 30 Nov 2017 19:39:31 GMT",,,14,4,No,Red oak,Planted,d913420d-ada7-4ee3-bf7a-9dcbe4c56362,Quercus rubra ,Fair ,WA96,,,,43.7070827186514,-72.2921228036958
397,,"Thu, 30 Nov 2017 19:40:33 GMT",,,12,3,No,Red oak,Planted,a2f2c2af-1351-4fe7-bec2-870e11b5b01c,Quercus rubra ,Poor ,WA94,,,,43.7071108399366,-72.2921658866781
398,,"Thu, 30 Nov 2017 19:41:50 GMT",,,12,3,No,Red oak ,Planted,6eca79fe-0771-40d5-850a-cd572c3dc884,Quercus rubra ,Poor ,WA93,,,,43.7071058107947,-72.2922147531736
399,,"Thu, 30 Nov 2017 19:42:50 GMT",,,12,3,No,Red oak ,Planted,03d17e71-f619-4251-a174-3a5924e1a506,Quercus rubra ,Poor,WA92,,,,43.7071151147072,-72.2923130728978
400,,"Thu, 30 Nov 2017 19:43:56 GMT",,,12,4,No,Red oak ,Planted,8ce3b47c-992b-4855-897d-f2ef0b2c9f44,Quercus rubra ,Fair ,WA91,,,,43.7071509473433,-72.2924070340323
401,,"Thu, 30 Nov 2017 19:45:54 GMT",,,12,3,No,Red oak ,Planted,d26af679-d91d-4b24-b9ff-6354797dae00,Quercus rubra ,Fair ,WA90,,,,43.7073093234037,-72.2927741613913
402,,"Thu, 30 Nov 2017 19:47:00 GMT",,,12,3,No,Red oak ,Planted,bdae8bfd-4d1d-40fb-bb66-ae69b66668a6,Quercus rubra ,Poor ,WA89,,,,43.7072887458314,-72.2927990556436
403,,"Thu, 30 Nov 2017 19:48:10 GMT",,,10,2,No,Red oak ,Planted,c672042f-c9cc-4f78-9a12-39784cd2fe1b,Quercus rubra ,Poor ,WA88,,,,43.7072840938752,-72.2928345949131
404,,"Thu, 30 Nov 2017 19:49:24 GMT",,,14,3,No,Red oak ,Planted,69e89cdb-2eae-4ba3-8d40-c59b2e8cbfe4,Quercus rubra ,Fair ,WA87,,,,43.7072276417573,-72.2928533703762
405,,"Thu, 30 Nov 2017 19:52:56 GMT",,,10,3,No,Crabapple ,Planted,e5c50151-3580-459d-b880-124e8c965158,,Fair ,WA86,,,,43.7075235648488,-72.2930745688009
406,,"Thu, 30 Nov 2017 19:54:10 GMT",,,10,3,No,Crabapple ,Planted,61b89550-af47-4f2a-944b-7ece2b76fc02,,Good ,WA85,,,,43.7073884485696,-72.29311706505
407,,"Thu, 30 Nov 2017 19:57:57 GMT",,,10,3,No,Crabapple ,Planted,e4f60106-6006-4183-923e-9e0c6d59d449,,Good,WA84,,,,43.7073503109102,-72.2930757422673
408,,"Thu, 30 Nov 2017 19:58:57 GMT",,,8,3,No,Crabapple ,Planted,002b8957-39d2-4467-9723-8b653471222d,,Fair ,WA83,,,,43.7072984688391,-72.2930417955595
409,,"Thu, 30 Nov 2017 20:00:01 GMT",,,10,3,No,Hophornbeam ,Planted,409eff4f-665d-484e-b28c-7874d07e2e48,,Fair ,WA81,,,,43.7071918510308,-72.2931021452623
410,,"Thu, 30 Nov 2017 20:01:00 GMT",,,10,2,No,Hophornbeam ,Planted,dc55f1bd-308a-4eb4-be2d-05ef38b68476,,Poor ,WA82,,,,43.7071813736518,-72.29311966344
411,,"Thu, 30 Nov 2017 20:03:07 GMT",,,10,3,No,Hophornbeam ,Planted,2d66bfd3-9317-44f2-aed9-058ba0a5c63f,,Fair ,WA80,,,,43.7070892565359,-72.2932402790266
412,,,,,,,,,Planted,90464bb5-94d5-4f2e-97a8-aab8688bd733,,,,,,,43.7077951420199,-72.2849989461
413,,"Mon, 26 Mar 2018 04:00:00 GMT",Beaty,,,,No,Crabapple,Planted,358f6231-49b6-4b96-8925-dc965570db5a,Malus,Fair,BL01,"Hammerman for Hammerman, H&B",,,43.7042901264064,-72.2892356094678
414,,"Mon, 26 Mar 2018 04:00:00 GMT",Beaty,,59,,No,Slippery elm,Planted,dc4b789b-43c6-4a5b-8709-c3d847b2df30,Ulmus rubra,Fair,BL02,SVP office/Kimball Family,,,43.7043648170721,-72.289328977157
415,,"Mon, 26 Mar 2018 04:00:00 GMT",Beaty,,,,No,American elm,Planted,9caa73ce-69b7-4971-b411-d3ee4cbbcda4,Ulmus americana,Good,BL03,"Cook, Theresa for Oestreicher, David J.",2010,,43.7044825922725,-72.2893409130199
416,,"Mon, 26 Mar 2018 04:00:00 GMT",Beaty,,,,No,Red oak,Planted,8cc410dd-2d00-424a-a183-33f5b827256e,Quercus rubra,Fair,BL04,,,,43.7046578391787,-72.2892296279485
417,,"Mon, 26 Mar 2018 04:00:00 GMT",Beaty,,,,No,Crabapple,Planted,d17f0a07-227e-4c4c-95e5-9b6700c62d98,Malus,Fair,BL05,"1938 Class for Hobbs, Emily",,,43.7046564043389,-72.2893726970493
418,,"Mon, 26 Mar 2018 04:00:00 GMT",Beaty,,,,No,Kentucky Coffee Tree,Planted,84e9cdb6-28f1-484d-bada-17a07d367945,Gymnocladus dioicus,Good,BL07,"1950 Class for Leavitt, J. A.",,,43.704244191202,-72.2890905554766
419,,"Mon, 26 Mar 2018 04:00:00 GMT",Beaty,,,,No,Sugar maple,Planted,de469bfa-f978-474d-a5d6-21682dc4e2c6,Acer saccharum,Good,BL08,"Newdick, Lita for Newdick, E.L.",2010,,43.7043634016046,-72.2891521657391
420,,"Mon, 26 Mar 2018 04:00:00 GMT",Beaty,,,,No,Red oak,Planted,396e032e-d40f-4bd7-9500-6f5652f172d4,Quercus rubra,Fair,BL11,,,,43.7046607283264,-72.2890170360359
421,,"Mon, 26 Mar 2018 04:00:00 GMT",Beaty,,65,30,No,American Elm,Planted,bc28129f-a48b-4117-b7b4-f4cf068e188f,Ulmus americana,Fair,BL14,"Perlow, Eliz.W. for Shumway, S. Brooks",,Arbotect 2022,43.7043461639122,-72.2888362552465
422,,"Mon, 26 Mar 2018 04:00:00 GMT",Beaty,,60,20,No,American elm,Planted,f7a8c088-5de0-4e82-bed4-3a9a939ed0b8,Ulmus americana,Fair,BL15,"Rowan, Eliz. for Rowan, C.A.",,Arbotect 2022,43.7045300203048,-72.2888640697409
423,,"Mon, 26 Mar 2018 04:00:00 GMT",Beaty,,35,17,No,American Elm,Planted,948ef103-e813-4f94-b4db-684da7d838a3,Ulmus americana,Fair,BL16,,,Arbotect 2018,43.7047081173705,-72.2888720091385
424,,"Mon, 26 Mar 2018 04:00:00 GMT",Beaty,,65,25,No,American elm semi-mature,Planted,5d6a4c2a-baa1-4811-bbd9-bf0e858c4912,Ulmus americana,Fair,BL17,,,"arbotect june 2022,2025",43.7048560626729,-72.2888581151518
425,,"Mon, 26 Mar 2018 04:00:00 GMT",Melendy,,20,10,No,Replaced 11-2020,Planted,16bd55c4-5eda-4836-a302-82ec9e079ce1,Ulmus americana,Good,BL18,Mark H. Smoller ‘ 53,,"Arbotect 2019,2025",43.705045637593,-72.2888839448377
426,,,,,18,9,No,Replaced 11-2020,Planted,b2013a95-8239-4d01-af6d-43103e8a9d74,Ulmus americana,Good,BL23,,,Arbotect 2019,43.7050571357635,-72.288498484685
1424,,"Mon, 26 Mar 2018 04:00:00 GMT",Beaty,,24,10,No,American elm young,Planted,e6145ed2-30fc-44b5-b353-a0a83b27f23a,Ulmus americana,Good,BL154,"Dore, Eliz. for Lebeau, Michelle",2015,,43.7048675414709,-72.2885163749733
1425,,"Mon, 26 Mar 2018 04:00:00 GMT",Beaty,,16,4,No,American elm young,Planted,74964c14-5fde-429e-b7af-044b9ada47c4,Ulmus americana,Good,BL155,Dedicated to President Eisenhower ,,,43.7047181807673,-72.2885223295625
1426,,"Mon, 26 Mar 2018 04:00:00 GMT",Beaty,,65,32,No,American elm,Planted,3c07fabb-13c2-4f2c-a4e7-cb4435a341a1,Ulmus americana,Fair,BL20,"Deland, Jane for Penberthy, Philip E.",,Arbotect 2017,43.7045558671763,-72.2885203445903
1427,,"Mon, 26 Mar 2018 04:00:00 GMT",Beaty,,65,25,No,American elm,Planted,ad630488-66ee-45f5-bd8c-aa9fbf993f37,Ulmus americana,Fair,BL19,"Hammerman, Bob for Goldsmith, Caroline",,Arbotect 2022,43.7043921376494,-72.2885362500701
1428,,"Mon, 26 Mar 2018 04:00:00 GMT",Beaty,,,,No,American Elm,Planted,4e46c78c-a99f-4729-b3c6-79b6ae7cf40e,Ulmus americana,Fair,BL202,"Pyne, Marjery for Nichols, H. Foster",,Arbotect 2022,43.7042528198272,-72.2883812721184
1429,,"Mon, 26 Mar 2018 04:00:00 GMT",Beaty,,,,No,American elm semi-mature,Planted,ad52198f-83e2-47aa-914f-cbc5ff3aa6ba,Ulmus americana,Fair,BL26,"Nixon, Tamara for Nixon, Daniel",,Arbotect 2022,43.7042513655686,-72.2880315925423
1430,,"Mon, 26 Mar 2018 04:00:00 GMT",Beaty,,,,No,Sugar maple young,Planted,4cedf695-762e-4d3c-a483-16fa0dccc9ac,Acer saccharum,Good,BL10,1988 Class for 1988 Class,2013,,43.7044381114696,-72.2890846010512
1431,,"Mon, 26 Mar 2018 04:00:00 GMT",Beaty,,55,28,No,Red oak mature,Planted,a0d51cbe-a969-4b76-88ea-28e9db239018,Quercus rubra,Fair,BL31,,,,43.7049005818945,-72.2880017932395
1433,,"Mon, 26 Mar 2018 04:00:00 GMT",Beaty,,70,38,No,"American elm, confirmed DED 2022,confirmed DED 2024",Planted,6f202ae3-00a9-41da-9698-e16d30c40bb3,Ulmus americana,Fair,BL32,"McNerney, Cynthia for Fendrich, Robt.E.",,"Arbotect june 2022,July 2024",43.7049695129432,-72.2881428505198
1434,,"Mon, 26 Mar 2018 04:00:00 GMT",Beaty,,,,No,Red oak semi-mature,Planted,abd9f31e-3c81-4f70-a7d9-45ca8957f915,Quercus rubra,Fair,BL34,,,,43.7049200354241,-72.2893327128064
1435,,"Mon, 26 Mar 2018 04:00:00 GMT",Beaty,,,,No,Red oak mature,Planted,43150f34-3c43-4280-acb3-2aaa55152736,Quercus rubra,Fair,BL09,,,,43.7046543155887,-72.2891380111821
1436,,"Mon, 26 Mar 2018 04:00:00 GMT",Beaty,,25,16,No,Crabapple mature,Planted,8344c7af-3b1e-4282-87d9-0c793aa00458,Malus,Fair,BL38,,,,43.7050492882969,-72.2892413030774
